if chickens are comes from eggsand eggs lays by chickens then who came first in the world ?  ,7
if u try to fail and succeedwhat have u done ?  can vegetarians eat animal crackers ?  why do they sterilize needles for lethal injections ?  First question simply put you have succeeded at failing .  It would still be a failure to those around you but you could silently applaud yourself for a job well failed .  Second I know a vegetarian that wont eat them just because they are called animal crackers her sister is a vegan and wont eat them because most are made with egg or milk product .  I would look at the ingredients and if they have animal byproducts that you wont eat then dont buy em .. Unless thier for me ...  because I will bite all thier little heads off and then eat a steak ...  Now this third one is a little different .  You ask why they would sterilize them and I asked my mother who is a nurse what she thought about it ..  She simply put me in this situation .   If your about to give lethal drugs to someone and lets say you used a dirty needle .  I said yeah ... so And what happens if you slip and the needle goes into your arm ?  I said It would never happen but yeah good point .  So I would have to say that if you are using a needle even if its not for your arm ...  you wouldnt want to be on the wrong end of something that isnt sterilized .  Trust me its not for the safety of the inmate about to be put down ....  Its for the safety of the nurse givin the shot . Hope this clarifies anything your still asking yourself .  Thanks for letting me respond .  ,3
Draw a picture that shows hydrogen bonding between H2O and NH3 .?  HOH  .....  HNHHKEY ........ hbond  sp3 sigma bond cnat remamber if this is accurate ...    ignore this .  i used it to push the H under the N ... note the  H2O has a slight bend like a boomerang due to the 2 lone pairs of electrons on O .   and the branching in NH3 has a flat tripod like shapeps please refrain from asking people to draw things here its very difficult ...  Good thing i have patience ... Your Welcome ...  ,3
in basketball whats a suicide ?  is it like running back and forth ?  Its an exercise where you run the entire court touching down in intnervals until youve completed the exercise on both sides of the court .  ,5
Would changing my first name affect major parts of my life ?  I want to change my first name from Corie to Corianne .   Its more feminine and professional .   But my parents think if I change my name it will affect my credit college transcripts etc .   They said it would be hard in the future to get a job or a loan because changing your first name makes you look suspicious .   Is this true ?   I really want to go through with it but not if its going to be a huge hassle .  LOL I changed my whole name once completely different .  I even eliminated my middle name entirely .  All it takes here in my county is 75 . 00 and an appearance in a small claims court .  You answer a few questions such as why you are changing your name if you are doing so to evade creditors which the answer has to be no etc .  After the judge grants you the change you have to send in for a change on your birth certificate social security card and whatever else .  It is really easy and for such a small change as yours it will be even easier .  Very few applications ask whether you have ever gone by another name .  I work in healthcare so I had to disclose my other name once but that was it .  You know what ?  I changed my name back a year later .  I just decided to go back to my original name and it was even easier than the first change .  Hopefully it is the same in your area but laws do sometimes differ .  ,9
can anyone give info on underwater monlith off W . A .?  I was not able to get a definitive answer on this but I found thisIf youre heading out to Avon Valley be sure to see the stupendous Wave Rock a monolith shaped like a giant wave .  1330 mi2140 km southwest of Alice Springs . Perhaps this is what youre talking about .  ,3
Starting a GSA in my high school ...?  I would love to start a GayStraight Alliance at my school but I need a teacher sponsor and I just dont know where I could begin to ask .   Also I am out to all my friends but none of my family and do you think this is a worthwhile endeavor considering that I know now is not the time to tell them gearing up for senior year is stressful enough ...  I know if not now when but I will I just dont want to rush it ?   Would it even be worth the trouble ?  I would check out what they have on the GLSEN website they have a whole student section with stuff about how to start a GSA be helpful .  As for asking teachers I would try to find the most liberal one you can think of .   I would look for a teacher who is 1 under 35 2 teachers something not math computers or science look at music psych social studies librarians or sex ed teaches  3 if you cant think of someone talk to your principal or vice principal whomever is in charge of student activities and ask for suggstions 4 and just scew up your courage and ask .   Pitch it as you want to form this club to combat bullying and antigay harassment and give support to fellow gay students as well as build bridges between gay and straight people .   Yes someone might turn you down .   Yes they might get all uncomfortable and weird and turn you down .   But you know what thats life kiddo .   People are going to turn you down people are going to treat you like a freak because you are gay some people are going to be down right bitchy about it .   But that is exactly why you need a GSA  because it is rough to be gay .   If you cave now youll spend the rest of your life feeling like a dumbshit for not just going through with it .   Some rejection from a teacher who you will never see again after graduation is not going to ruin your life .   And you shouldnt be embarassed becuase some people are phobes .   If some teacher turns you down they are the ones who should be embarassed  and you should make them feel as such . If they turn you down just lay on the old guilt .   Say that youre sorry that they are not more willing to be accepting and supporting of diversity in the student body and say that you are really disapointed that you will not be getting their support because it is so necessary for teachers to take a stand and lend authority to antibullying efforts .   Youve got nothing to feel bad about because some people are cowards freaks and phobes .  ,0
Why would God create the dinosaurs only to kill them off ?  Is He imperfect ?  Im glad theyre gone .   Can you imagine driving around town today with a dinosaur roaming around ?   I hate dodging SUVs like Hummers just imagine dodging a Brontosaurus Fossil fuel thats a reason we needed them to die we have oil deposits from them . Everything happens for a reason dont forget that .  ,0
why do you men cheating when you already know you have something good ?  There are two or three kinds of cheaters .  The worst kind and I know several are the immature selfish type who seem to need to prove to themselves over and over that they still have it or somehting like that .  Then there is the guy who loses it once or twice .  Men who travel a lot and women get very lonely at night .  Hard to describe but Ive been there .  The porn industry makes a killing by selling all kinds of adult programs to hotel travellers .  They really miss home  ...  the wrong situation the wrong time perhaps there was an angry exchange with the wife  ...  some hot babe walks into the bar and sits next to him  ...  it happens .  The third kind is the guy or woman who has been in a loveless marriage for years .  There is a nice house kids community life and all kinds of great things that came from the marriage .  But somewhere along the way the romance died .  Husbands and wives spend so much time battling over emotional territory work so hard to get what they want out of the marriage  ...  lots of wives offer sex as a reward for good behavior .  It seems to work so well that they never give it away for free lest they lose that leverage .  Husbands may in turn stop doing anything unless they get a reward for it .  Sick I know but those of you whove been married for a long while know what Im talking about .  The husband or wife who cheats on that marriage is usually desperate for genuine intimacy .  Love that doesnt require a high score on the report card .  The women who use the vagina as a wrench arent terribly happy either and are just as likely to be seduced into the cheat . It is a sad state of affairs .  Unfortunately the young immature guy or gal who cheats early on for selfish reasons pretty much destroys the trust needed to find real intimacy .  He or she will wind up at an early age in the third kind of loveless marriage .  The key I think is to never use sex for leverage .  Never It is a shared intimacy that only the two can share .  If you want a new car or tennis bracelet just ask .  Amaze him with your passion and give him a place of emotional refuge at home .  He will be so grateful that hell bring home gifts on his own .  Those are the best kind .  ,8
Help with myspace . com backgrounds and stuff ?  I just joined the myspcae . com and was wondering if anyone could help me get my page up and working .  I cant figure out how to set the background on my page like everyone is doing .  It would really help if someone could talk me through it .  If possible try IMing me at chucksangelinpink on the yahoo messenger ?   this is one website check it out and Id be happy to talk you throught it if you find something you like on there if not I will help you find more sites its really fun to desing them ,4
